Sum of ProductionByTechnologyByMode,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,Grand Total
PHL_PRO_BLEND_BIOF,440.9859,452.281,463.9193,475.2173,486.9053,498.2698,512.5187,526.5652,540.6425,554.762,544.8781,562.5742,580.0402,597.7284,615.3657,629.3549,645.7625,662.1499,677.1664,692.2167,704.1387,723.9541,741.9002,761.846,784.5724,807.338,831.8618,856.4187,881.0267,905.6598,924.2015,949.9958,975.6131,1001.5811,23009.4119
PHL_PRO_EXTR_COAL,743.1914,1376.3553,1417.7464,1498.9662,1513.9154,1554.5084,1610.1561,1667.0517,1721.1818,1785.0093,1717.9964,1785.3666,1852.3785,313.1769,,,,,,,,,,,,,,,,,,,,,20557.0004
PHL_PRO_EXTR_NG,140.4442,26.6454,28.9794,36.382,157.8122,169.2283,185.9475,191.3757,199.6093,162.6245,163.5878,170.0618,159.6241,161.7292,164.1264,175.123,179.9185,184.7049,190.5016,204.2217,218.7435,216.9469,224.3138,231.9927,239.7029,248.1342,270.1406,290.806,303.0095,319.0285,368.9707,392.0156,430.0006,446.6067,7253.0597
PHL_PRO_EXTR_OIL,244.7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.7203
PHL_PRO_IMP_COAL,,,,,,,,,,,,,,1618.8072,1965.5583,2014.7458,2093.7476,2224.2532,2299.2351,2365.3999,2098.5935,2027.1901,2035.7156,2043.945,2052.073,2063.9002,2070.2158,2082.4571,2100.1246,2117.6315,2679.5424,2736.3454,2785.4198,2841.6176,46316.5187
PHL_PRO_IMP_OIL,15.2004,113.9802,112.8551,111.7855,10.9122,11.0006,11.0836,11.1692,11.2568,11.346,11.225,11.3302,11.435,11.5392,9.3394,,,,,,6.2846,,,,,,,,,,,,,,481.743
PHL_PRO_PROC_BIOF,440.9859,452.281,463.9193,475.2173,486.9053,498.2698,512.5187,526.5652,540.6425,554.762,544.8781,562.5742,580.0402,597.7284,615.3657,629.3549,645.7625,662.1499,677.1664,692.2167,704.1387,723.9541,741.9002,761.846,784.5724,807.338,831.8618,856.4187,881.0267,905.6598,924.2015,949.9958,975.6131,1001.5811,23009.4119
PHL_PRO_PROC_BIOM,304.3034,1.7528,1.7672,1.782,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,320.1054
PHL_PRO_PROC_COAL,740.2592,1370.9258,1412.1534,1493.0529,1507.9431,1548.3761,1603.8037,1660.4746,1714.3919,1777.968,1711.2184,1778.3234,1845.071,1924.3623,1957.8044,2006.7983,2085.4878,2215.4788,2290.1651,2356.0692,2090.3147,2019.1926,2027.6846,2035.8814,2043.9766,2055.7588,2062.0489,2074.2418,2091.8397,2109.278,2668.9719,2725.5501,2774.4313,2830.4072,66609.705
PHL_PRO_PROC_NG,132.899,25.2138,27.423,34.4278,149.3343,160.1371,175.9578,181.0947,188.8861,153.8885,154.7997,160.9255,151.0489,153.0406,155.3095,165.715,170.2529,174.7823,180.2675,193.2503,206.9923,205.2923,212.2636,219.5299,226.8254,234.8034,255.6281,275.1834,286.7311,301.8898,349.1489,370.9558,406.8997,422.6142,6863.4122
PHL_PRO_PROC_OIL,264.4028,115.9461,114.8014,113.7132,11.1002,11.1902,11.275,11.3618,11.4506,11.5418,11.4186,11.5256,11.6322,11.7382,9.5004,,,,,,6.393,,,,,,,,,,,,,,738.9911
Grand Total,3467.3925,3935.3814,4043.5645,4240.5442,4324.828,4450.9803,4623.2611,4775.6581,4928.0615,5011.9021,4860.0021,5042.6815,5191.2701,5389.8504,5492.3698,5621.0919,5820.9318,6123.519,6314.5021,6503.3745,6046.099,5916.5301,5983.778,6055.041,6131.7227,6217.2726,6321.757,6435.5257,6543.7583,6659.1474,7915.0369,8124.8585,8347.9776,8544.4079,195404.0796
