r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PHL_PRO_IMP_UR,1,2020,0.0
RE1,PHL_PRO_IMP_UR,1,2021,0.0
RE1,PHL_PRO_IMP_UR,1,2022,0.0
RE1,PHL_PRO_IMP_UR,1,2023,0.0
RE1,PHL_PRO_IMP_UR,1,2024,0.0
RE1,PHL_PRO_IMP_UR,1,2025,0.0
RE1,PHL_PRO_IMP_UR,1,2026,0.0
RE1,PHL_PRO_IMP_UR,1,2027,0.0
RE1,PHL_PRO_IMP_UR,1,2028,0.0
RE1,PHL_PRO_IMP_UR,1,2029,0.0
RE1,PHL_PRO_IMP_UR,1,2030,0.0
RE1,PHL_PRO_IMP_UR,1,2031,0.0
RE1,PHL_PRO_IMP_UR,1,2032,0.0
RE1,PHL_PRO_IMP_UR,1,2033,0.0
RE1,PHL_PRO_IMP_UR,1,2034,0.0
RE1,PHL_PRO_IMP_UR,1,2035,0.0
RE1,PHL_PRO_IMP_UR,1,2036,0.0
RE1,PHL_PRO_IMP_UR,1,2037,0.0
RE1,PHL_PRO_IMP_UR,1,2038,0.0
RE1,PHL_PRO_IMP_UR,1,2039,0.0
RE1,PHL_PRO_IMP_UR,1,2040,0.0
RE1,PHL_PRO_IMP_UR,1,2041,0.0
RE1,PHL_PRO_IMP_UR,1,2042,0.0
RE1,PHL_PRO_IMP_UR,1,2043,0.0
RE1,PHL_PRO_IMP_UR,1,2044,0.0
RE1,PHL_PRO_IMP_UR,1,2045,0.0
RE1,PHL_PRO_IMP_UR,1,2046,0.0
RE1,PHL_PRO_IMP_UR,1,2047,0.0
RE1,PHL_PRO_IMP_UR,1,2048,0.0
RE1,PHL_PRO_IMP_UR,1,2049,0.0
RE1,PHL_PRO_IMP_UR,1,2050,0.0
RE1,PHL_PRO_IMP_UR,1,2051,0.0
RE1,PHL_PRO_IMP_UR,1,2052,0.0
RE1,PHL_PRO_IMP_UR,1,2053,0.0
RE1,PHL_PWR_GAS,1,2020,0.0
RE1,PHL_PWR_GAS,1,2021,0.0
RE1,PHL_PWR_GAS,1,2022,0.0
RE1,PHL_PWR_GAS,1,2023,0.0
RE1,PHL_PWR_GAS,1,2024,0.0
RE1,PHL_PWR_GAS,1,2025,0.0
RE1,PHL_PWR_GAS,1,2026,0.0
RE1,PHL_PWR_GAS,1,2027,0.0
RE1,PHL_PWR_GAS,1,2028,0.0
RE1,PHL_PWR_GAS,1,2029,0.0
RE1,PHL_PWR_GAS,1,2030,0.0
RE1,PHL_PWR_GAS,1,2031,0.0
RE1,PHL_PWR_GAS,1,2032,0.0
RE1,PHL_PWR_GAS,1,2033,0.0
RE1,PHL_PWR_GAS,1,2034,0.0
RE1,PHL_PWR_GAS,1,2035,0.0
RE1,PHL_PWR_GAS,1,2036,0.0
RE1,PHL_PWR_GAS,1,2037,0.0
RE1,PHL_PWR_GAS,1,2038,0.0
RE1,PHL_PWR_GAS,1,2039,0.0
RE1,PHL_PWR_GAS,1,2040,0.0
RE1,PHL_PWR_GAS,1,2041,0.0
RE1,PHL_PWR_GAS,1,2042,0.0
RE1,PHL_PWR_GAS,1,2043,0.0
RE1,PHL_PWR_GAS,1,2044,0.0
RE1,PHL_PWR_GAS,1,2045,0.0
RE1,PHL_PWR_GAS,1,2046,0.0
RE1,PHL_PWR_GAS,1,2047,0.0
RE1,PHL_PWR_GAS,1,2048,0.0
RE1,PHL_PWR_GAS,1,2049,0.0
RE1,PHL_PWR_GAS,1,2050,0.0
RE1,PHL_PWR_GAS,1,2051,0.0
RE1,PHL_PWR_GAS,1,2052,0.0
RE1,PHL_PWR_GAS,1,2053,0.0
RE1,PHL_DEM_PWR_GWT_WAT,1,2020,3.4671
RE1,PHL_DEM_PWR_GWT_WAT,1,2021,2.8118
RE1,PHL_DEM_PWR_GWT_WAT,1,2022,1.9906
RE1,PHL_DEM_PWR_GWT_WAT,1,2023,4.7172
RE1,PHL_DEM_PWR_GWT_WAT,1,2024,2.0864
RE1,PHL_DEM_PWR_GWT_WAT,1,2025,4.9594
RE1,PHL_DEM_PWR_GWT_WAT,1,2026,4.9672
RE1,PHL_DEM_PWR_GWT_WAT,1,2027,2.983
RE1,PHL_DEM_PWR_GWT_WAT,1,2028,4.9836
RE1,PHL_DEM_PWR_GWT_WAT,1,2029,4.9923
RE1,PHL_DEM_PWR_GWT_WAT,1,2030,0.8705
RE1,PHL_DEM_PWR_GWT_WAT,1,2031,5.0107
RE1,PHL_DEM_PWR_GWT_WAT,1,2032,5.036
RE1,PHL_DEM_PWR_GWT_WAT,1,2033,5.3216
RE1,PHL_DEM_PWR_GWT_WAT,1,2034,5.5235
RE1,PHL_DEM_PWR_GWT_WAT,1,2035,5.7482
RE1,PHL_DEM_PWR_GWT_WAT,1,2036,6.0826
RE1,PHL_DEM_PWR_GWT_WAT,1,2037,6.5045
RE1,PHL_DEM_PWR_GWT_WAT,1,2038,6.8323
RE1,PHL_DEM_PWR_GWT_WAT,1,2039,7.1648
RE1,PHL_DEM_PWR_GWT_WAT,1,2040,7.0809
RE1,PHL_DEM_PWR_GWT_WAT,1,2041,6.6819
RE1,PHL_DEM_PWR_GWT_WAT,1,2042,3.7891
RE1,PHL_DEM_PWR_GWT_WAT,1,2043,7.0035
RE1,PHL_DEM_PWR_GWT_WAT,1,2044,5.6134
RE1,PHL_DEM_PWR_GWT_WAT,1,2045,3.5396
RE1,PHL_DEM_PWR_GWT_WAT,1,2046,7.5377
RE1,PHL_DEM_PWR_GWT_WAT,1,2047,7.7317
RE1,PHL_DEM_PWR_GWT_WAT,1,2048,2.6299
RE1,PHL_DEM_PWR_GWT_WAT,1,2049,2.1659
RE1,PHL_DEM_PWR_GWT_WAT,1,2050,2.353
RE1,PHL_DEM_PWR_GWT_WAT,1,2051,7.823
RE1,PHL_DEM_PWR_GWT_WAT,1,2052,10.4238
RE1,PHL_DEM_PWR_GWT_WAT,1,2053,1.487
RE1,PHL_DEM_PWR_SUR_WAT,1,2020,18.9541
RE1,PHL_DEM_PWR_SUR_WAT,1,2021,11.7047
RE1,PHL_DEM_PWR_SUR_WAT,1,2022,13.3715
RE1,PHL_DEM_PWR_SUR_WAT,1,2023,11.8318
RE1,PHL_DEM_PWR_SUR_WAT,1,2024,14.9559
RE1,PHL_DEM_PWR_SUR_WAT,1,2025,12.768
RE1,PHL_DEM_PWR_SUR_WAT,1,2026,13.7303
RE1,PHL_DEM_PWR_SUR_WAT,1,2027,16.8151
RE1,PHL_DEM_PWR_SUR_WAT,1,2028,15.8312
RE1,PHL_DEM_PWR_SUR_WAT,1,2029,17.4752
RE1,PHL_DEM_PWR_SUR_WAT,1,2030,20.6851
RE1,PHL_DEM_PWR_SUR_WAT,1,2031,17.8375
RE1,PHL_DEM_PWR_SUR_WAT,1,2032,19.3554
RE1,PHL_DEM_PWR_SUR_WAT,1,2033,20.6556
RE1,PHL_DEM_PWR_SUR_WAT,1,2034,21.1981
RE1,PHL_DEM_PWR_SUR_WAT,1,2035,21.8924
RE1,PHL_DEM_PWR_SUR_WAT,1,2036,23.4787
RE1,PHL_DEM_PWR_SUR_WAT,1,2037,25.768
RE1,PHL_DEM_PWR_SUR_WAT,1,2038,27.2044
RE1,PHL_DEM_PWR_SUR_WAT,1,2039,28.6322
RE1,PHL_DEM_PWR_SUR_WAT,1,2040,26.4516
RE1,PHL_DEM_PWR_SUR_WAT,1,2041,21.5257
RE1,PHL_DEM_PWR_SUR_WAT,1,2042,24.3542
RE1,PHL_DEM_PWR_SUR_WAT,1,2043,21.0765
RE1,PHL_DEM_PWR_SUR_WAT,1,2044,22.4021
RE1,PHL_DEM_PWR_SUR_WAT,1,2045,24.4855
RE1,PHL_DEM_PWR_SUR_WAT,1,2046,20.4168
RE1,PHL_DEM_PWR_SUR_WAT,1,2047,20.2114
RE1,PHL_DEM_PWR_SUR_WAT,1,2048,25.4329
RE1,PHL_DEM_PWR_SUR_WAT,1,2049,26.0101
RE1,PHL_DEM_PWR_SUR_WAT,1,2050,38.835
RE1,PHL_DEM_PWR_SUR_WAT,1,2051,34.5227
RE1,PHL_DEM_PWR_SUR_WAT,1,2052,32.9089
RE1,PHL_DEM_PWR_SUR_WAT,1,2053,43.0771
RE1,PHL_DEM_PUB_GWT_WAT,1,2020,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2021,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2022,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2023,0.2274
RE1,PHL_DEM_PUB_GWT_WAT,1,2024,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2025,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2026,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2027,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2028,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2029,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2030,4.1309
RE1,PHL_DEM_PUB_GWT_WAT,1,2031,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2032,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2033,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2034,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2035,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2036,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2037,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2038,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2039,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2040,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2041,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2042,3.0507
RE1,PHL_DEM_PUB_GWT_WAT,1,2043,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2044,1.5596
RE1,PHL_DEM_PUB_GWT_WAT,1,2045,3.8168
RE1,PHL_DEM_PUB_GWT_WAT,1,2046,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2047,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2048,5.3162
RE1,PHL_DEM_PUB_GWT_WAT,1,2049,6.0009
RE1,PHL_DEM_PUB_GWT_WAT,1,2050,7.3927
RE1,PHL_DEM_PUB_GWT_WAT,1,2051,2.2669
RE1,PHL_DEM_PUB_GWT_WAT,1,2052,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2053,9.3041
RE1,PHL_DEM_PUB_SUR_WAT,1,2020,19.62
RE1,PHL_DEM_PUB_SUR_WAT,1,2021,20.37
RE1,PHL_DEM_PUB_SUR_WAT,1,2022,21.148
RE1,PHL_DEM_PUB_SUR_WAT,1,2023,21.7276
RE1,PHL_DEM_PUB_SUR_WAT,1,2024,22.794
RE1,PHL_DEM_PUB_SUR_WAT,1,2025,23.665
RE1,PHL_DEM_PUB_SUR_WAT,1,2026,24.568
RE1,PHL_DEM_PUB_SUR_WAT,1,2027,25.506
RE1,PHL_DEM_PUB_SUR_WAT,1,2028,26.479
RE1,PHL_DEM_PUB_SUR_WAT,1,2029,27.489
RE1,PHL_DEM_PUB_SUR_WAT,1,2030,24.4051
RE1,PHL_DEM_PUB_SUR_WAT,1,2031,29.622
RE1,PHL_DEM_PUB_SUR_WAT,1,2032,30.749
RE1,PHL_DEM_PUB_SUR_WAT,1,2033,31.917
RE1,PHL_DEM_PUB_SUR_WAT,1,2034,33.128
RE1,PHL_DEM_PUB_SUR_WAT,1,2035,34.383
RE1,PHL_DEM_PUB_SUR_WAT,1,2036,35.685
RE1,PHL_DEM_PUB_SUR_WAT,1,2037,37.033
RE1,PHL_DEM_PUB_SUR_WAT,1,2038,38.43
RE1,PHL_DEM_PUB_SUR_WAT,1,2039,39.878
RE1,PHL_DEM_PUB_SUR_WAT,1,2040,41.377
RE1,PHL_DEM_PUB_SUR_WAT,1,2041,42.93
RE1,PHL_DEM_PUB_SUR_WAT,1,2042,41.4883
RE1,PHL_DEM_PUB_SUR_WAT,1,2043,46.204
RE1,PHL_DEM_PUB_SUR_WAT,1,2044,46.3674
RE1,PHL_DEM_PUB_SUR_WAT,1,2045,45.8942
RE1,PHL_DEM_PUB_SUR_WAT,1,2046,51.556
RE1,PHL_DEM_PUB_SUR_WAT,1,2047,53.465
RE1,PHL_DEM_PUB_SUR_WAT,1,2048,50.1228
RE1,PHL_DEM_PUB_SUR_WAT,1,2049,51.4801
RE1,PHL_DEM_PUB_SUR_WAT,1,2050,52.1993
RE1,PHL_DEM_PUB_SUR_WAT,1,2051,59.5061
RE1,PHL_DEM_PUB_SUR_WAT,1,2052,64.028
RE1,PHL_DEM_PUB_SUR_WAT,1,2053,57.0549
RE1,PHL_MIN_PRC,1,2020,99999.0
RE1,PHL_MIN_PRC,1,2021,152.2086
RE1,PHL_MIN_PRC,1,2022,152.4311
RE1,PHL_MIN_PRC,1,2023,152.662
RE1,PHL_MIN_PRC,1,2024,152.9016
RE1,PHL_MIN_PRC,1,2025,153.1501
RE1,PHL_MIN_PRC,1,2026,153.4078
RE1,PHL_MIN_PRC,1,2027,153.6753
RE1,PHL_MIN_PRC,1,2028,153.9527
RE1,PHL_MIN_PRC,1,2029,154.2405
RE1,PHL_MIN_PRC,1,2030,154.5391
RE1,PHL_MIN_PRC,1,2031,154.8488
RE1,PHL_MIN_PRC,1,2032,155.3916
RE1,PHL_MIN_PRC,1,2033,159.6496
RE1,PHL_MIN_PRC,1,2034,162.7219
RE1,PHL_MIN_PRC,1,2035,166.1262
RE1,PHL_MIN_PRC,1,2036,171.1014
RE1,PHL_MIN_PRC,1,2037,177.3308
RE1,PHL_MIN_PRC,1,2038,182.2267
RE1,PHL_MIN_PRC,1,2039,187.1997
RE1,PHL_MIN_PRC,1,2040,186.2506
RE1,PHL_MIN_PRC,1,2041,180.8228
RE1,PHL_MIN_PRC,1,2042,183.3351
RE1,PHL_MIN_PRC,1,2043,185.9405
RE1,PHL_MIN_PRC,1,2044,188.6384
