Sum of ProductionByTechnologyByMode,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,Grand Total
PHL_PRO_EXTR_COAL,743.1976,1319.4799,1373.4207,1476.923,1504.6733,1564.8352,1635.1575,1672.0474,1629.9931,1581.9122,1536.4889,1588.9742,1636.6852,1293.2117,,,,,,,,,,,,,,,,,,,,,20556.9999
PHL_PRO_EXTR_NG,140.4442,18.7182,21.15,28.1414,42.1265,53.2793,49.0798,52.9766,66.2923,88.8732,85.0381,74.1194,91.319,138.5169,151.5174,166.218,171.3753,199.5553,252.9805,297.9783,254.465,238.9627,246.1528,253.8611,261.4527,270.6957,280.0147,296.523,297.9153,306.8909,344.7267,371.3436,379.3586,391.6764,6383.7389
PHL_PRO_EXTR_OIL,75.3605,,,,,,,9.5453,20.9913,24.0625,33.707,45.3472,35.0731,,,,,,,,0.0751,,,,,,0.0368,0.1127,0.105,0.0658,0.0738,0.0738,0.0492,0.0412,244.7203
PHL_PRO_IMP_COAL,,,,,,,,,,,,,,387.7625,1722.7239,1760.7762,1812.082,1839.4754,1827.968,1797.0349,1662.4034,1649.1578,1652.965,1660.5852,1664.445,1673.4106,1654.8514,1636.0116,1626.2936,1603.387,1594.0962,1549.628,1498.008,1494.4426,33767.5083
PHL_PRO_IMP_OIL,184.5603,172.2597,159.9499,147.6505,135.3402,123.04,110.74,98.43,86.1301,73.8199,61.5199,49.2202,36.91,24.6102,12.2998,,,,,,,,,,,,,,,,,,,,1476.4807
PHL_PRO_IMP_UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0986,37.7624,91.6942,745.7182,860.5016,1006.5472,1085.9386,3846.2608
PHL_PRO_PROC_BIOM,304.3034,4.1874,4.0502,3.9162,2.9566,2.983,3.0078,1.8438,1.8598,,,,,,,,,,,,8.6649,0.0044,0.0431,0.0462,0.0528,0.0631,0.1363,0.14,0.14,0.1316,0.0897,2.3875,0.0861,0.0858,341.1797
PHL_PRO_PROC_COAL,740.2658,1314.2747,1368.0024,1471.097,1498.7371,1558.6616,1628.7071,1665.4515,1623.5624,1575.6712,1530.4279,1582.7055,1630.2286,1674.3428,1715.9281,1753.8303,1804.9333,1832.2185,1820.7569,1789.9454,1655.8462,1642.651,1646.4446,1654.0336,1657.8776,1666.8102,1648.323,1629.5572,1619.8784,1597.0616,1587.8078,1543.515,1492.0984,1488.547,54110.1997
PHL_PRO_PROC_NG,132.899,17.7129,20.0134,26.6296,39.863,50.4168,46.4433,50.1306,62.731,84.0988,80.4692,70.1376,86.4126,131.0757,143.3781,157.2884,162.1687,188.8346,239.3901,281.9701,240.7946,226.1251,232.9286,240.2234,247.4067,256.1532,264.9716,280.593,281.9109,290.4042,326.207,351.3944,358.979,370.6347,6040.7899
PHL_PRO_PROC_OIL,264.4029,175.2298,162.7084,150.196,137.674,125.1617,112.6502,109.8376,108.9687,99.5705,96.8691,96.1982,73.2244,25.0343,12.5122,,,,,,0.0764,,,,,,0.0374,0.1146,0.1069,0.0669,0.075,0.075,0.05,0.0419,1750.8821
Grand Total,2585.4337,3021.8626,3109.295,3304.5537,3361.3707,3478.3776,3585.7857,3660.2628,3600.5287,3528.0083,3424.5201,3506.7023,3589.8529,3674.5541,3758.3595,3838.1129,3950.5593,4060.0838,4141.0955,4166.9287,3822.3256,3756.901,3778.5341,3808.7495,3831.2348,3867.1328,3848.3712,3861.1507,3864.1125,3889.7022,4598.7944,4678.9189,4735.1765,4831.4082,128518.7603
