r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PHL_PRO_IMP_UR,1,2020,0.0
RE1,PHL_PRO_IMP_UR,1,2021,0.0
RE1,PHL_PRO_IMP_UR,1,2022,0.0
RE1,PHL_PRO_IMP_UR,1,2023,0.0
RE1,PHL_PRO_IMP_UR,1,2024,0.0
RE1,PHL_PRO_IMP_UR,1,2025,0.0
RE1,PHL_PRO_IMP_UR,1,2026,0.0
RE1,PHL_PRO_IMP_UR,1,2027,0.0
RE1,PHL_PRO_IMP_UR,1,2028,0.0
RE1,PHL_PRO_IMP_UR,1,2029,0.0
RE1,PHL_PRO_IMP_UR,1,2030,0.0
RE1,PHL_PRO_IMP_UR,1,2031,0.0
RE1,PHL_PRO_IMP_UR,1,2032,0.0
RE1,PHL_PRO_IMP_UR,1,2033,0.0
RE1,PHL_PRO_IMP_UR,1,2034,0.0
RE1,PHL_PRO_IMP_UR,1,2035,0.0
RE1,PHL_PRO_IMP_UR,1,2036,0.0
RE1,PHL_PRO_IMP_UR,1,2037,0.0
RE1,PHL_PRO_IMP_UR,1,2038,0.0
RE1,PHL_PRO_IMP_UR,1,2039,0.0
RE1,PHL_PRO_IMP_UR,1,2040,0.0
RE1,PHL_PRO_IMP_UR,1,2041,0.0
RE1,PHL_PRO_IMP_UR,1,2042,0.0
RE1,PHL_PRO_IMP_UR,1,2043,0.0
RE1,PHL_PRO_IMP_UR,1,2044,0.0
RE1,PHL_PRO_IMP_UR,1,2045,0.0
RE1,PHL_PRO_IMP_UR,1,2046,0.0
RE1,PHL_PRO_IMP_UR,1,2047,18.0982
RE1,PHL_PRO_IMP_UR,1,2048,37.7627
RE1,PHL_PRO_IMP_UR,1,2049,91.6939
RE1,PHL_PRO_IMP_UR,1,2050,745.7179
RE1,PHL_PRO_IMP_UR,1,2051,860.5017
RE1,PHL_PRO_IMP_UR,1,2052,1006.5475
RE1,PHL_PRO_IMP_UR,1,2053,1085.9394
RE1,PHL_PWR_GAS,1,2020,0.0
RE1,PHL_PWR_GAS,1,2021,0.0
RE1,PHL_PWR_GAS,1,2022,0.0
RE1,PHL_PWR_GAS,1,2023,0.0
RE1,PHL_PWR_GAS,1,2024,0.0
RE1,PHL_PWR_GAS,1,2025,0.0
RE1,PHL_PWR_GAS,1,2026,0.0
RE1,PHL_PWR_GAS,1,2027,0.0
RE1,PHL_PWR_GAS,1,2028,0.0
RE1,PHL_PWR_GAS,1,2029,0.0
RE1,PHL_PWR_GAS,1,2030,0.0
RE1,PHL_PWR_GAS,1,2031,0.0
RE1,PHL_PWR_GAS,1,2032,0.0
RE1,PHL_PWR_GAS,1,2033,0.0
RE1,PHL_PWR_GAS,1,2034,0.0
RE1,PHL_PWR_GAS,1,2035,0.0
RE1,PHL_PWR_GAS,1,2036,0.0
RE1,PHL_PWR_GAS,1,2037,0.0
RE1,PHL_PWR_GAS,1,2038,0.0
RE1,PHL_PWR_GAS,1,2039,0.0
RE1,PHL_PWR_GAS,1,2040,0.0
RE1,PHL_PWR_GAS,1,2041,0.0
RE1,PHL_PWR_GAS,1,2042,0.0
RE1,PHL_PWR_GAS,1,2043,0.0
RE1,PHL_PWR_GAS,1,2044,0.0
RE1,PHL_PWR_GAS,1,2045,0.0
RE1,PHL_PWR_GAS,1,2046,0.0
RE1,PHL_PWR_GAS,1,2047,0.0
RE1,PHL_PWR_GAS,1,2048,0.0
RE1,PHL_PWR_GAS,1,2049,0.0
RE1,PHL_PWR_GAS,1,2050,0.0
RE1,PHL_PWR_GAS,1,2051,0.0
RE1,PHL_PWR_GAS,1,2052,0.0
RE1,PHL_PWR_GAS,1,2053,0.0
RE1,PHL_DEM_PWR_GWT_WAT,1,2020,0.0
RE1,PHL_DEM_PWR_GWT_WAT,1,2021,3.909
RE1,PHL_DEM_PWR_GWT_WAT,1,2022,2.6556
RE1,PHL_DEM_PWR_GWT_WAT,1,2023,0.0494
RE1,PHL_DEM_PWR_GWT_WAT,1,2024,2.8523
RE1,PHL_DEM_PWR_GWT_WAT,1,2025,4.8003
RE1,PHL_DEM_PWR_GWT_WAT,1,2026,2.188
RE1,PHL_DEM_PWR_GWT_WAT,1,2027,3.3331
RE1,PHL_DEM_PWR_GWT_WAT,1,2028,2.8021
RE1,PHL_DEM_PWR_GWT_WAT,1,2029,0.3115
RE1,PHL_DEM_PWR_GWT_WAT,1,2030,2.0683
RE1,PHL_DEM_PWR_GWT_WAT,1,2031,2.2505
RE1,PHL_DEM_PWR_GWT_WAT,1,2032,3.1463
RE1,PHL_DEM_PWR_GWT_WAT,1,2033,2.5021
RE1,PHL_DEM_PWR_GWT_WAT,1,2034,3.0372
RE1,PHL_DEM_PWR_GWT_WAT,1,2035,5.2737
RE1,PHL_DEM_PWR_GWT_WAT,1,2036,4.7087
RE1,PHL_DEM_PWR_GWT_WAT,1,2037,4.84
RE1,PHL_DEM_PWR_GWT_WAT,1,2038,2.6069
RE1,PHL_DEM_PWR_GWT_WAT,1,2039,6.1681
RE1,PHL_DEM_PWR_GWT_WAT,1,2040,6.2023
RE1,PHL_DEM_PWR_GWT_WAT,1,2041,6.0041
RE1,PHL_DEM_PWR_GWT_WAT,1,2042,0.8895
RE1,PHL_DEM_PWR_GWT_WAT,1,2043,1.2281
RE1,PHL_DEM_PWR_GWT_WAT,1,2044,6.4702
RE1,PHL_DEM_PWR_GWT_WAT,1,2045,3.8502
RE1,PHL_DEM_PWR_GWT_WAT,1,2046,0.0
RE1,PHL_DEM_PWR_GWT_WAT,1,2047,6.0457
RE1,PHL_DEM_PWR_GWT_WAT,1,2048,0.8717
RE1,PHL_DEM_PWR_GWT_WAT,1,2049,9.7569
RE1,PHL_DEM_PWR_GWT_WAT,1,2050,28.4653
RE1,PHL_DEM_PWR_GWT_WAT,1,2051,31.8943
RE1,PHL_DEM_PWR_GWT_WAT,1,2052,36.0271
RE1,PHL_DEM_PWR_GWT_WAT,1,2053,5.8777
RE1,PHL_DEM_PWR_SUR_WAT,1,2020,22.4213
RE1,PHL_DEM_PWR_SUR_WAT,1,2021,10.5882
RE1,PHL_DEM_PWR_SUR_WAT,1,2022,12.6683
RE1,PHL_DEM_PWR_SUR_WAT,1,2023,16.7506
RE1,PHL_DEM_PWR_SUR_WAT,1,2024,14.4417
RE1,PHL_DEM_PWR_SUR_WAT,1,2025,13.3484
RE1,PHL_DEM_PWR_SUR_WAT,1,2026,17.3032
RE1,PHL_DEM_PWR_SUR_WAT,1,2027,16.8945
RE1,PHL_DEM_PWR_SUR_WAT,1,2028,16.8411
RE1,PHL_DEM_PWR_SUR_WAT,1,2029,18.5913
RE1,PHL_DEM_PWR_SUR_WAT,1,2030,15.9575
RE1,PHL_DEM_PWR_SUR_WAT,1,2031,16.8758
RE1,PHL_DEM_PWR_SUR_WAT,1,2032,17.018
RE1,PHL_DEM_PWR_SUR_WAT,1,2033,18.6932
RE1,PHL_DEM_PWR_SUR_WAT,1,2034,19.173
RE1,PHL_DEM_PWR_SUR_WAT,1,2035,17.8381
RE1,PHL_DEM_PWR_SUR_WAT,1,2036,19.6545
RE1,PHL_DEM_PWR_SUR_WAT,1,2037,20.6295
RE1,PHL_DEM_PWR_SUR_WAT,1,2038,23.5447
RE1,PHL_DEM_PWR_SUR_WAT,1,2039,20.1148
RE1,PHL_DEM_PWR_SUR_WAT,1,2040,18.9436
RE1,PHL_DEM_PWR_SUR_WAT,1,2041,15.7333
RE1,PHL_DEM_PWR_SUR_WAT,1,2042,20.6783
RE1,PHL_DEM_PWR_SUR_WAT,1,2043,20.2515
RE1,PHL_DEM_PWR_SUR_WAT,1,2044,14.8377
RE1,PHL_DEM_PWR_SUR_WAT,1,2045,17.4261
RE1,PHL_DEM_PWR_SUR_WAT,1,2046,20.6153
RE1,PHL_DEM_PWR_SUR_WAT,1,2047,18.8874
RE1,PHL_DEM_PWR_SUR_WAT,1,2048,28.7315
RE1,PHL_DEM_PWR_SUR_WAT,1,2049,33.5978
RE1,PHL_DEM_PWR_SUR_WAT,1,2050,191.4097
RE1,PHL_DEM_PWR_SUR_WAT,1,2051,218.5838
RE1,PHL_DEM_PWR_SUR_WAT,1,2052,251.7006
RE1,PHL_DEM_PWR_SUR_WAT,1,2053,302.8953
RE1,PHL_DEM_PUB_GWT_WAT,1,2020,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2021,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2022,2.2821
RE1,PHL_DEM_PUB_GWT_WAT,1,2023,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2024,2.0996
RE1,PHL_DEM_PUB_GWT_WAT,1,2025,0.1591
RE1,PHL_DEM_PUB_GWT_WAT,1,2026,2.7792
RE1,PHL_DEM_PUB_GWT_WAT,1,2027,1.6421
RE1,PHL_DEM_PUB_GWT_WAT,1,2028,0.6753
RE1,PHL_DEM_PUB_GWT_WAT,1,2029,4.6808
RE1,PHL_DEM_PUB_GWT_WAT,1,2030,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2031,2.7602
RE1,PHL_DEM_PUB_GWT_WAT,1,2032,1.8741
RE1,PHL_DEM_PUB_GWT_WAT,1,2033,2.5283
RE1,PHL_DEM_PUB_GWT_WAT,1,2034,2.0136
RE1,PHL_DEM_PUB_GWT_WAT,1,2035,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2036,0.8293
RE1,PHL_DEM_PUB_GWT_WAT,1,2037,0.9518
RE1,PHL_DEM_PUB_GWT_WAT,1,2038,3.3993
RE1,PHL_DEM_PUB_GWT_WAT,1,2039,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2040,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2041,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2042,5.2614
RE1,PHL_DEM_PUB_GWT_WAT,1,2043,5.0838
RE1,PHL_DEM_PUB_GWT_WAT,1,2044,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2045,2.7992
RE1,PHL_DEM_PUB_GWT_WAT,1,2046,6.7688
RE1,PHL_DEM_PUB_GWT_WAT,1,2047,1.3706
RE1,PHL_DEM_PUB_GWT_WAT,1,2048,7.2358
RE1,PHL_DEM_PUB_GWT_WAT,1,2049,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2050,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2051,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2052,0.0
RE1,PHL_DEM_PUB_GWT_WAT,1,2053,32.5924
RE1,PHL_DEM_PUB_SUR_WAT,1,2020,19.62
RE1,PHL_DEM_PUB_SUR_WAT,1,2021,20.37
RE1,PHL_DEM_PUB_SUR_WAT,1,2022,18.8659
RE1,PHL_DEM_PUB_SUR_WAT,1,2023,21.955
RE1,PHL_DEM_PUB_SUR_WAT,1,2024,20.6944
RE1,PHL_DEM_PUB_SUR_WAT,1,2025,23.5059
RE1,PHL_DEM_PUB_SUR_WAT,1,2026,21.7888
RE1,PHL_DEM_PUB_SUR_WAT,1,2027,23.8639
RE1,PHL_DEM_PUB_SUR_WAT,1,2028,25.8037
RE1,PHL_DEM_PUB_SUR_WAT,1,2029,22.8082
RE1,PHL_DEM_PUB_SUR_WAT,1,2030,28.536
RE1,PHL_DEM_PUB_SUR_WAT,1,2031,26.8618
RE1,PHL_DEM_PUB_SUR_WAT,1,2032,28.8749
RE1,PHL_DEM_PUB_SUR_WAT,1,2033,29.3887
RE1,PHL_DEM_PUB_SUR_WAT,1,2034,31.1144
RE1,PHL_DEM_PUB_SUR_WAT,1,2035,34.383
RE1,PHL_DEM_PUB_SUR_WAT,1,2036,34.8557
RE1,PHL_DEM_PUB_SUR_WAT,1,2037,36.0812
RE1,PHL_DEM_PUB_SUR_WAT,1,2038,35.0307
RE1,PHL_DEM_PUB_SUR_WAT,1,2039,39.878
RE1,PHL_DEM_PUB_SUR_WAT,1,2040,41.377
RE1,PHL_DEM_PUB_SUR_WAT,1,2041,42.93
RE1,PHL_DEM_PUB_SUR_WAT,1,2042,39.2776
RE1,PHL_DEM_PUB_SUR_WAT,1,2043,41.1202
RE1,PHL_DEM_PUB_SUR_WAT,1,2044,47.927
RE1,PHL_DEM_PUB_SUR_WAT,1,2045,46.9118
RE1,PHL_DEM_PUB_SUR_WAT,1,2046,44.7872
RE1,PHL_DEM_PUB_SUR_WAT,1,2047,52.0944
RE1,PHL_DEM_PUB_SUR_WAT,1,2048,48.2032
RE1,PHL_DEM_PUB_SUR_WAT,1,2049,57.481
RE1,PHL_DEM_PUB_SUR_WAT,1,2050,59.592
RE1,PHL_DEM_PUB_SUR_WAT,1,2051,61.773
RE1,PHL_DEM_PUB_SUR_WAT,1,2052,64.028
RE1,PHL_DEM_PUB_SUR_WAT,1,2053,33.7666
RE1,PHL_MIN_PRC,1,2020,99999.0
RE1,PHL_MIN_PRC,1,2021,152.2086
RE1,PHL_MIN_PRC,1,2022,152.4311
RE1,PHL_MIN_PRC,1,2023,152.662
RE1,PHL_MIN_PRC,1,2024,152.9016
RE1,PHL_MIN_PRC,1,2025,153.1501
RE1,PHL_MIN_PRC,1,2026,153.4078
RE1,PHL_MIN_PRC,1,2027,153.6753
RE1,PHL_MIN_PRC,1,2028,153.9527
RE1,PHL_MIN_PRC,1,2029,154.2405
RE1,PHL_MIN_PRC,1,2030,154.5391
RE1,PHL_MIN_PRC,1,2031,154.8488
RE1,PHL_MIN_PRC,1,2032,155.1702
RE1,PHL_MIN_PRC,1,2033,155.5035
RE1,PHL_MIN_PRC,1,2034,155.9908
RE1,PHL_MIN_PRC,1,2035,159.3692
RE1,PHL_MIN_PRC,1,2036,163.3455
RE1,PHL_MIN_PRC,1,2037,167.1803
RE1,PHL_MIN_PRC,1,2038,170.4618
RE1,PHL_MIN_PRC,1,2039,173.0042
RE1,PHL_MIN_PRC,1,2040,173.7372
RE1,PHL_MIN_PRC,1,2041,171.1688
RE1,PHL_MIN_PRC,1,2042,173.5241
RE1,PHL_MIN_PRC,1,2043,176.0923
