Sum of AnnualTechnologyEmissionByMode,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
CO2e,97.2368,131.5543,137.9647,144.6176,150.3477,151.1061,150.8583,150.5657,150.115,154.7755,145.0957,151.6209,156.9232,163.4149,169.8307,174.0019,180.5793,188.6038,195.413,202.0125,189.8214,181.9741,182.7559,183.7365,184.9194,186.4516,188.1073,190.3662,192.3348,195.0793,250.8429,257.5413,264.6515,270.8016,,6066.0214
PHL_POW_BH2_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_DAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_BIOM_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_COAL_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_PP_NGCC_CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_PRO_PROC_COAL,70.5467,112.3862,117.9514,126.6867,133.5792,142.1721,141.8189,141.4233,140.8816,144.8706,134.7104,140.9745,147.7741,154.2025,160.5982,164.8818,171.2097,178.9851,185.5258,191.1657,177.1612,170.4812,170.933,171.5614,172.3686,173.4703,174.0476,175.2731,176.613,178.7931,230.0622,235.8958,242.1372,247.4222,,5598.5644
PHL_PRO_PROC_NG,7.3094,8.444,8.1301,7.8004,14.1071,8.1138,8.2129,8.3096,8.3941,9.0589,9.5483,9.8016,8.2965,8.352,8.5361,9.1201,9.3696,9.6187,9.8872,10.8468,11.6227,11.4929,11.8229,12.1751,12.5508,12.9813,14.0597,15.0931,15.7218,16.2862,20.7807,21.6455,22.5143,23.3794,,403.3836
PHL_PRO_PROC_OIL,19.3807,10.7241,11.8832,10.1305,2.6614,0.8202,0.8265,0.8328,0.8393,0.846,0.837,0.8448,0.8526,0.8604,0.6964,0,0,0,0,0,1.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,,64.0734
PM2_5,64.8365,67.0945,69.3282,71.561,73.7941,76.0273,78.6275,81.2264,83.8274,86.4267,89.0258,92.001,94.9764,97.9517,100.9271,103.9035,107.3876,110.8702,114.3552,117.8384,121.323,125.2584,129.193,133.129,137.0657,141.0016,145.1979,149.3943,153.5931,157.7902,161.9885,166.1783,170.3666,174.555,,3848.0211
PHL_HOU_COOK_BIOM,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0026
PHL_HOU_COOK_COAL,0,0.0284,0.0288,0.0292,0.0297,0.0305,0.0309,0.0313,0.0317,0.0322,0.0326,0.0329,0.0332,0.0336,0.034,0.0354,0.0357,0.0361,0.0364,0.0367,0.0371,0.0374,0.0377,0.038,0.0383,0.0386,0.0388,0.0391,0.0394,0.0396,0.0399,0.0401,0.0403,0.0405,,1.1641
PHL_HOU_COOK_OIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_POW_CHP_BIOM_OLD,0.0004,0.0005,0.0005,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0035
