Sum of CapitalInvestment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_AGR_FAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_BIOM,2.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.999
PHL_AGR_HEAT_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_HEAT_NG,47.1147,1.9432,1.3465,1.3559,1.3643,1.372,1.4878,1.4944,1.5004,1.5058,1.5544,1.7539,1.7539,1.7539,1.7539,1.7539,2.0697,2.0697,2.0697,2.0697,1.4297,0,0,0,0,26.7657,0,0,0,0,64.0209,4.4449,4.4449,4.4449,,184.6387
PHL_AGR_HEAT_OIL,10.9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.9168
PHL_AGR_MOT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_AGR_MOT_LIQ,14270.519,369.9875,369.9875,376.4785,382.9696,389.4606,425.9008,432.8827,439.8647,453.8287,460.8106,525.4367,533.279,533.279,498.5774,17770.378,1037.4189,1037.4189,1052.454,1052.454,1052.454,1184.893,1201.82,1201.82,1201.82,1201.82,1361.9114,1361.9114,1381.0932,1336.6995,19359.448,1980.1654,1980.1653,1980.1654,,80199.5727
PHL_AGR_UNIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_DEM_PUB_GWT_WAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
