r,t,y,CapitalInvestment
RE1,PHL_PRO_IMP_UR,2020,0
RE1,PHL_PRO_IMP_UR,2021,0
RE1,PHL_PRO_IMP_UR,2022,0
RE1,PHL_PRO_IMP_UR,2023,0
RE1,PHL_PRO_IMP_UR,2024,0
RE1,PHL_PRO_IMP_UR,2025,0
RE1,PHL_PRO_IMP_UR,2026,0
RE1,PHL_PRO_IMP_UR,2027,0
RE1,PHL_PRO_IMP_UR,2028,0
RE1,PHL_PRO_IMP_UR,2029,0
RE1,PHL_PRO_IMP_UR,2030,0
RE1,PHL_PRO_IMP_UR,2031,0
RE1,PHL_PRO_IMP_UR,2032,0
RE1,PHL_PRO_IMP_UR,2033,0
RE1,PHL_PRO_IMP_UR,2034,0
RE1,PHL_PRO_IMP_UR,2035,0
RE1,PHL_PRO_IMP_UR,2036,0
RE1,PHL_PRO_IMP_UR,2037,0
RE1,PHL_PRO_IMP_UR,2038,0
RE1,PHL_PRO_IMP_UR,2039,0
RE1,PHL_PRO_IMP_UR,2040,0
RE1,PHL_PRO_IMP_UR,2041,0
RE1,PHL_PRO_IMP_UR,2042,0
RE1,PHL_PRO_IMP_UR,2043,0
RE1,PHL_PRO_IMP_UR,2044,0
RE1,PHL_PRO_IMP_UR,2045,0
RE1,PHL_PRO_IMP_UR,2046,0
RE1,PHL_PRO_IMP_UR,2047,0
RE1,PHL_PRO_IMP_UR,2048,0
RE1,PHL_PRO_IMP_UR,2049,0
RE1,PHL_PRO_IMP_UR,2050,0
RE1,PHL_PRO_IMP_UR,2051,0
RE1,PHL_PRO_IMP_UR,2052,0
RE1,PHL_PRO_IMP_UR,2053,0
RE1,PHL_PWR_GAS,2020,0
RE1,PHL_PWR_GAS,2021,0
RE1,PHL_PWR_GAS,2022,0
RE1,PHL_PWR_GAS,2023,0
RE1,PHL_PWR_GAS,2024,0
RE1,PHL_PWR_GAS,2025,0
RE1,PHL_PWR_GAS,2026,0
RE1,PHL_PWR_GAS,2027,0
RE1,PHL_PWR_GAS,2028,0
RE1,PHL_PWR_GAS,2029,0
RE1,PHL_PWR_GAS,2030,0
RE1,PHL_PWR_GAS,2031,0
RE1,PHL_PWR_GAS,2032,0
RE1,PHL_PWR_GAS,2033,0
RE1,PHL_PWR_GAS,2034,0
RE1,PHL_PWR_GAS,2035,0
RE1,PHL_PWR_GAS,2036,0
RE1,PHL_PWR_GAS,2037,0
RE1,PHL_PWR_GAS,2038,0
RE1,PHL_PWR_GAS,2039,0
RE1,PHL_PWR_GAS,2040,0
RE1,PHL_PWR_GAS,2041,0
RE1,PHL_PWR_GAS,2042,0
RE1,PHL_PWR_GAS,2043,0
RE1,PHL_PWR_GAS,2044,0
RE1,PHL_PWR_GAS,2045,0
RE1,PHL_PWR_GAS,2046,0
RE1,PHL_PWR_GAS,2047,0
RE1,PHL_PWR_GAS,2048,0
RE1,PHL_PWR_GAS,2049,0
RE1,PHL_PWR_GAS,2050,0
RE1,PHL_PWR_GAS,2051,0
RE1,PHL_PWR_GAS,2052,0
RE1,PHL_PWR_GAS,2053,0
RE1,PHL_DEM_PWR_GWT_WAT,2020,0
RE1,PHL_DEM_PWR_GWT_WAT,2021,0
RE1,PHL_DEM_PWR_GWT_WAT,2022,0
RE1,PHL_DEM_PWR_GWT_WAT,2023,0
RE1,PHL_DEM_PWR_GWT_WAT,2024,0
RE1,PHL_DEM_PWR_GWT_WAT,2025,0
RE1,PHL_DEM_PWR_GWT_WAT,2026,0
RE1,PHL_DEM_PWR_GWT_WAT,2027,0
RE1,PHL_DEM_PWR_GWT_WAT,2028,0
RE1,PHL_DEM_PWR_GWT_WAT,2029,0
RE1,PHL_DEM_PWR_GWT_WAT,2030,0
RE1,PHL_DEM_PWR_GWT_WAT,2031,0
RE1,PHL_DEM_PWR_GWT_WAT,2032,0
RE1,PHL_DEM_PWR_GWT_WAT,2033,0
RE1,PHL_DEM_PWR_GWT_WAT,2034,0
RE1,PHL_DEM_PWR_GWT_WAT,2035,0
RE1,PHL_DEM_PWR_GWT_WAT,2036,0
RE1,PHL_DEM_PWR_GWT_WAT,2037,0
RE1,PHL_DEM_PWR_GWT_WAT,2038,0
RE1,PHL_DEM_PWR_GWT_WAT,2039,0
RE1,PHL_DEM_PWR_GWT_WAT,2040,0
RE1,PHL_DEM_PWR_GWT_WAT,2041,0
RE1,PHL_DEM_PWR_GWT_WAT,2042,0
RE1,PHL_DEM_PWR_GWT_WAT,2043,0
RE1,PHL_DEM_PWR_GWT_WAT,2044,0
RE1,PHL_DEM_PWR_GWT_WAT,2045,0
RE1,PHL_DEM_PWR_GWT_WAT,2046,0
RE1,PHL_DEM_PWR_GWT_WAT,2047,0
RE1,PHL_DEM_PWR_GWT_WAT,2048,0
RE1,PHL_DEM_PWR_GWT_WAT,2049,0
RE1,PHL_DEM_PWR_GWT_WAT,2050,0
RE1,PHL_DEM_PWR_GWT_WAT,2051,0
RE1,PHL_DEM_PWR_GWT_WAT,2052,0
RE1,PHL_DEM_PWR_GWT_WAT,2053,0
RE1,PHL_DEM_PWR_SUR_WAT,2020,0
RE1,PHL_DEM_PWR_SUR_WAT,2021,0
RE1,PHL_DEM_PWR_SUR_WAT,2022,0
RE1,PHL_DEM_PWR_SUR_WAT,2023,0
RE1,PHL_DEM_PWR_SUR_WAT,2024,0
RE1,PHL_DEM_PWR_SUR_WAT,2025,0
RE1,PHL_DEM_PWR_SUR_WAT,2026,0
RE1,PHL_DEM_PWR_SUR_WAT,2027,0
RE1,PHL_DEM_PWR_SUR_WAT,2028,0
RE1,PHL_DEM_PWR_SUR_WAT,2029,0
RE1,PHL_DEM_PWR_SUR_WAT,2030,0
RE1,PHL_DEM_PWR_SUR_WAT,2031,0
RE1,PHL_DEM_PWR_SUR_WAT,2032,0
RE1,PHL_DEM_PWR_SUR_WAT,2033,0
RE1,PHL_DEM_PWR_SUR_WAT,2034,0
RE1,PHL_DEM_PWR_SUR_WAT,2035,0
RE1,PHL_DEM_PWR_SUR_WAT,2036,0
RE1,PHL_DEM_PWR_SUR_WAT,2037,0
RE1,PHL_DEM_PWR_SUR_WAT,2038,0
RE1,PHL_DEM_PWR_SUR_WAT,2039,0
RE1,PHL_DEM_PWR_SUR_WAT,2040,0
RE1,PHL_DEM_PWR_SUR_WAT,2041,0
RE1,PHL_DEM_PWR_SUR_WAT,2042,0
RE1,PHL_DEM_PWR_SUR_WAT,2043,0
RE1,PHL_DEM_PWR_SUR_WAT,2044,0
RE1,PHL_DEM_PWR_SUR_WAT,2045,0
RE1,PHL_DEM_PWR_SUR_WAT,2046,0
RE1,PHL_DEM_PWR_SUR_WAT,2047,0
RE1,PHL_DEM_PWR_SUR_WAT,2048,0
RE1,PHL_DEM_PWR_SUR_WAT,2049,0
RE1,PHL_DEM_PWR_SUR_WAT,2050,0
RE1,PHL_DEM_PWR_SUR_WAT,2051,0
RE1,PHL_DEM_PWR_SUR_WAT,2052,0
RE1,PHL_DEM_PWR_SUR_WAT,2053,0
RE1,PHL_DEM_PUB_GWT_WAT,2020,0
RE1,PHL_DEM_PUB_GWT_WAT,2021,0
RE1,PHL_DEM_PUB_GWT_WAT,2022,0
RE1,PHL_DEM_PUB_GWT_WAT,2023,0
RE1,PHL_DEM_PUB_GWT_WAT,2024,0
RE1,PHL_DEM_PUB_GWT_WAT,2025,0
RE1,PHL_DEM_PUB_GWT_WAT,2026,0
RE1,PHL_DEM_PUB_GWT_WAT,2027,0
RE1,PHL_DEM_PUB_GWT_WAT,2028,0
RE1,PHL_DEM_PUB_GWT_WAT,2029,0
RE1,PHL_DEM_PUB_GWT_WAT,2030,0
RE1,PHL_DEM_PUB_GWT_WAT,2031,0
RE1,PHL_DEM_PUB_GWT_WAT,2032,0
RE1,PHL_DEM_PUB_GWT_WAT,2033,0
RE1,PHL_DEM_PUB_GWT_WAT,2034,0
RE1,PHL_DEM_PUB_GWT_WAT,2035,0
RE1,PHL_DEM_PUB_GWT_WAT,2036,0
RE1,PHL_DEM_PUB_GWT_WAT,2037,0
RE1,PHL_DEM_PUB_GWT_WAT,2038,0
RE1,PHL_DEM_PUB_GWT_WAT,2039,0
RE1,PHL_DEM_PUB_GWT_WAT,2040,0
RE1,PHL_DEM_PUB_GWT_WAT,2041,0
RE1,PHL_DEM_PUB_GWT_WAT,2042,0
