r,t,y,NewCapacity
RE1,PHL_PRO_IMP_UR,2020,0
RE1,PHL_PRO_IMP_UR,2021,0
RE1,PHL_PRO_IMP_UR,2022,0
RE1,PHL_PRO_IMP_UR,2023,0
RE1,PHL_PRO_IMP_UR,2024,0
RE1,PHL_PRO_IMP_UR,2025,0
RE1,PHL_PRO_IMP_UR,2026,0
RE1,PHL_PRO_IMP_UR,2027,0
RE1,PHL_PRO_IMP_UR,2028,0
RE1,PHL_PRO_IMP_UR,2029,0
RE1,PHL_PRO_IMP_UR,2030,0
RE1,PHL_PRO_IMP_UR,2031,0
RE1,PHL_PRO_IMP_UR,2032,0
RE1,PHL_PRO_IMP_UR,2033,0
RE1,PHL_PRO_IMP_UR,2034,0
RE1,PHL_PRO_IMP_UR,2035,0
RE1,PHL_PRO_IMP_UR,2036,0
RE1,PHL_PRO_IMP_UR,2037,0
RE1,PHL_PRO_IMP_UR,2038,0
RE1,PHL_PRO_IMP_UR,2039,0
RE1,PHL_PRO_IMP_UR,2040,0
RE1,PHL_PRO_IMP_UR,2041,0
RE1,PHL_PRO_IMP_UR,2042,0
RE1,PHL_PRO_IMP_UR,2043,0
RE1,PHL_PRO_IMP_UR,2044,0
RE1,PHL_PRO_IMP_UR,2045,0
RE1,PHL_PRO_IMP_UR,2046,0
RE1,PHL_PRO_IMP_UR,2047,0
RE1,PHL_PRO_IMP_UR,2048,0
RE1,PHL_PRO_IMP_UR,2049,0
RE1,PHL_PRO_IMP_UR,2050,0
RE1,PHL_PRO_IMP_UR,2051,0
RE1,PHL_PRO_IMP_UR,2052,0
RE1,PHL_PRO_IMP_UR,2053,0
RE1,PHL_AGR_MOT_ELE,2020,0
RE1,PHL_AGR_MOT_ELE,2021,0
RE1,PHL_AGR_MOT_ELE,2022,0
RE1,PHL_AGR_MOT_ELE,2023,0
RE1,PHL_AGR_MOT_ELE,2024,0
RE1,PHL_AGR_MOT_ELE,2025,0
RE1,PHL_AGR_MOT_ELE,2026,0
RE1,PHL_AGR_MOT_ELE,2027,0
RE1,PHL_AGR_MOT_ELE,2028,0
RE1,PHL_AGR_MOT_ELE,2029,0
RE1,PHL_AGR_MOT_ELE,2030,0
RE1,PHL_AGR_MOT_ELE,2031,0
RE1,PHL_AGR_MOT_ELE,2032,0
RE1,PHL_AGR_MOT_ELE,2033,0
RE1,PHL_AGR_MOT_ELE,2034,0
RE1,PHL_AGR_MOT_ELE,2035,0
RE1,PHL_AGR_MOT_ELE,2036,0
RE1,PHL_AGR_MOT_ELE,2037,0
RE1,PHL_AGR_MOT_ELE,2038,0
RE1,PHL_AGR_MOT_ELE,2039,0
RE1,PHL_AGR_MOT_ELE,2040,0
RE1,PHL_AGR_MOT_ELE,2041,0
RE1,PHL_AGR_MOT_ELE,2042,0
RE1,PHL_AGR_MOT_ELE,2043,0
RE1,PHL_AGR_MOT_ELE,2044,0
RE1,PHL_AGR_MOT_ELE,2045,0
RE1,PHL_AGR_MOT_ELE,2046,0
RE1,PHL_AGR_MOT_ELE,2047,0
RE1,PHL_AGR_MOT_ELE,2048,0
RE1,PHL_AGR_MOT_ELE,2049,0
RE1,PHL_AGR_MOT_ELE,2050,0
RE1,PHL_AGR_MOT_ELE,2051,0
RE1,PHL_AGR_MOT_ELE,2052,0
RE1,PHL_AGR_MOT_ELE,2053,0
RE1,PHL_AGR_MOT_LIQ,2020,250.36
RE1,PHL_AGR_MOT_LIQ,2021,6.491
RE1,PHL_AGR_MOT_LIQ,2022,6.491
RE1,PHL_AGR_MOT_LIQ,2023,6.491
RE1,PHL_AGR_MOT_LIQ,2024,6.491
RE1,PHL_AGR_MOT_LIQ,2025,6.491
RE1,PHL_AGR_MOT_LIQ,2026,6.982
RE1,PHL_AGR_MOT_LIQ,2027,6.982
RE1,PHL_AGR_MOT_LIQ,2028,6.982
RE1,PHL_AGR_MOT_LIQ,2029,6.982
RE1,PHL_AGR_MOT_LIQ,2030,6.982
RE1,PHL_AGR_MOT_LIQ,2031,7.8423
RE1,PHL_AGR_MOT_LIQ,2032,7.8423
RE1,PHL_AGR_MOT_LIQ,2033,7.8423
RE1,PHL_AGR_MOT_LIQ,2034,7.2258
RE1,PHL_AGR_MOT_LIQ,2035,257.5417
RE1,PHL_AGR_MOT_LIQ,2036,15.0351
RE1,PHL_AGR_MOT_LIQ,2037,15.0351
RE1,PHL_AGR_MOT_LIQ,2038,15.0351
RE1,PHL_AGR_MOT_LIQ,2039,15.0351
RE1,PHL_AGR_MOT_LIQ,2040,15.0351
RE1,PHL_AGR_MOT_LIQ,2041,16.927
RE1,PHL_AGR_MOT_LIQ,2042,16.927
RE1,PHL_AGR_MOT_LIQ,2043,16.927
RE1,PHL_AGR_MOT_LIQ,2044,16.927
RE1,PHL_AGR_MOT_LIQ,2045,16.927
RE1,PHL_AGR_MOT_LIQ,2046,19.1819
RE1,PHL_AGR_MOT_LIQ,2047,19.1819
RE1,PHL_AGR_MOT_LIQ,2048,19.1818
RE1,PHL_AGR_MOT_LIQ,2049,18.5653
RE1,PHL_AGR_MOT_LIQ,2050,268.8812
RE1,PHL_AGR_MOT_LIQ,2051,27.5023
RE1,PHL_AGR_MOT_LIQ,2052,27.5023
RE1,PHL_AGR_MOT_LIQ,2053,27.5023
RE1,PHL_AGR_HEAT_OIL,2020,0.0375
RE1,PHL_AGR_HEAT_OIL,2021,0
RE1,PHL_AGR_HEAT_OIL,2022,0
RE1,PHL_AGR_HEAT_OIL,2023,0
RE1,PHL_AGR_HEAT_OIL,2024,0
RE1,PHL_AGR_HEAT_OIL,2025,0
RE1,PHL_AGR_HEAT_OIL,2026,0
RE1,PHL_AGR_HEAT_OIL,2027,0
RE1,PHL_AGR_HEAT_OIL,2028,0
RE1,PHL_AGR_HEAT_OIL,2029,0
RE1,PHL_AGR_HEAT_OIL,2030,0
RE1,PHL_AGR_HEAT_OIL,2031,0
RE1,PHL_AGR_HEAT_OIL,2032,0
RE1,PHL_AGR_HEAT_OIL,2033,0
RE1,PHL_AGR_HEAT_OIL,2034,0
RE1,PHL_AGR_HEAT_OIL,2035,0
RE1,PHL_AGR_HEAT_OIL,2036,0
RE1,PHL_AGR_HEAT_OIL,2037,0
RE1,PHL_AGR_HEAT_OIL,2038,0
RE1,PHL_AGR_HEAT_OIL,2039,0
RE1,PHL_AGR_HEAT_OIL,2040,0
RE1,PHL_AGR_HEAT_OIL,2041,0
RE1,PHL_AGR_HEAT_OIL,2042,0
RE1,PHL_AGR_HEAT_OIL,2043,0
RE1,PHL_AGR_HEAT_OIL,2044,0
RE1,PHL_AGR_HEAT_OIL,2045,0
RE1,PHL_AGR_HEAT_OIL,2046,0
RE1,PHL_AGR_HEAT_OIL,2047,0
RE1,PHL_AGR_HEAT_OIL,2048,0
RE1,PHL_AGR_HEAT_OIL,2049,0
RE1,PHL_AGR_HEAT_OIL,2050,0
RE1,PHL_AGR_HEAT_OIL,2051,0
RE1,PHL_AGR_HEAT_OIL,2052,0
RE1,PHL_AGR_HEAT_OIL,2053,0
RE1,PHL_AGR_HEAT_NG,2020,0.315
RE1,PHL_AGR_HEAT_NG,2021,0.0129
RE1,PHL_AGR_HEAT_NG,2022,0.0089
RE1,PHL_AGR_HEAT_NG,2023,0.0089
RE1,PHL_AGR_HEAT_NG,2024,0.0089
RE1,PHL_AGR_HEAT_NG,2025,0.0089
RE1,PHL_AGR_HEAT_NG,2026,0.0096
RE1,PHL_AGR_HEAT_NG,2027,0.0096
RE1,PHL_AGR_HEAT_NG,2028,0.0096
RE1,PHL_AGR_HEAT_NG,2029,0.0096
RE1,PHL_AGR_HEAT_NG,2030,0.0096
RE1,PHL_AGR_HEAT_NG,2031,0.0108
RE1,PHL_AGR_HEAT_NG,2032,0.0108
RE1,PHL_AGR_HEAT_NG,2033,0.0108
RE1,PHL_AGR_HEAT_NG,2034,0.0108
RE1,PHL_AGR_HEAT_NG,2035,0.0108
RE1,PHL_AGR_HEAT_NG,2036,0.0127
RE1,PHL_AGR_HEAT_NG,2037,0.0127
RE1,PHL_AGR_HEAT_NG,2038,0.0127
RE1,PHL_AGR_HEAT_NG,2039,0.0127
RE1,PHL_AGR_HEAT_NG,2040,0.0088
RE1,PHL_AGR_HEAT_NG,2041,0
RE1,PHL_AGR_HEAT_NG,2042,0
RE1,PHL_AGR_HEAT_NG,2043,0
