r,t,y,AnnualVariableOperatingCost
RE1,PHL_PRO_IMP_UR,2020,0.0
RE1,PHL_PRO_IMP_UR,2021,0.0
RE1,PHL_PRO_IMP_UR,2022,0.0
RE1,PHL_PRO_IMP_UR,2023,0.0
RE1,PHL_PRO_IMP_UR,2024,0.0
RE1,PHL_PRO_IMP_UR,2025,0.0
RE1,PHL_PRO_IMP_UR,2026,0.0
RE1,PHL_PRO_IMP_UR,2027,0.0
RE1,PHL_PRO_IMP_UR,2028,0.0
RE1,PHL_PRO_IMP_UR,2029,0.0
RE1,PHL_PRO_IMP_UR,2030,0.0
RE1,PHL_PRO_IMP_UR,2031,0.0
RE1,PHL_PRO_IMP_UR,2032,0.0
RE1,PHL_PRO_IMP_UR,2033,0.0
RE1,PHL_PRO_IMP_UR,2034,0.0
RE1,PHL_PRO_IMP_UR,2035,-0.0
RE1,PHL_PRO_IMP_UR,2036,24.5747
RE1,PHL_PRO_IMP_UR,2037,128.1962
RE1,PHL_PRO_IMP_UR,2038,251.4287
RE1,PHL_PRO_IMP_UR,2039,318.9248
RE1,PHL_PRO_IMP_UR,2040,367.1139
RE1,PHL_PRO_IMP_UR,2041,413.1143
RE1,PHL_PRO_IMP_UR,2042,462.7498
RE1,PHL_PRO_IMP_UR,2043,501.7145
RE1,PHL_PRO_IMP_UR,2044,555.3424
RE1,PHL_PRO_IMP_UR,2045,623.5795
RE1,PHL_PRO_IMP_UR,2046,734.1676
RE1,PHL_PRO_IMP_UR,2047,872.0697
RE1,PHL_PRO_IMP_UR,2048,968.5944
RE1,PHL_PRO_IMP_UR,2049,1101.7164
RE1,PHL_PRO_IMP_UR,2050,1157.1766
RE1,PHL_PRO_IMP_UR,2051,1214.9837
RE1,PHL_PRO_IMP_UR,2052,1342.1632
RE1,PHL_PRO_IMP_UR,2053,1282.7498
RE1,PHL_PWR_GAS,2020,0.0
RE1,PHL_PWR_GAS,2021,0.0
RE1,PHL_PWR_GAS,2022,0.0
RE1,PHL_PWR_GAS,2023,0.0
RE1,PHL_PWR_GAS,2024,0.0
RE1,PHL_PWR_GAS,2025,0.0
RE1,PHL_PWR_GAS,2026,0.0
RE1,PHL_PWR_GAS,2027,0.0
RE1,PHL_PWR_GAS,2028,0.0
RE1,PHL_PWR_GAS,2029,0.0
RE1,PHL_PWR_GAS,2030,0.0
RE1,PHL_PWR_GAS,2031,0.0
RE1,PHL_PWR_GAS,2032,0.0
