r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2020,1,RE1,1,RE1,0.3188
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2021,1,RE1,1,RE1,0.326
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2022,1,RE1,1,RE1,0.3332
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2023,1,RE1,1,RE1,0.3403
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2024,1,RE1,1,RE1,0.3475
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2025,1,RE1,1,RE1,0.3547
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2026,1,RE1,1,RE1,0.3625
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2027,1,RE1,1,RE1,0.3703
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2028,1,RE1,1,RE1,0.378
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2029,1,RE1,1,RE1,0.3858
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2030,1,RE1,1,RE1,0.3936
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2031,1,RE1,1,RE1,0.4024
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2032,1,RE1,1,RE1,0.4113
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2033,1,RE1,1,RE1,0.4201
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2034,1,RE1,1,RE1,0.429
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2035,1,RE1,1,RE1,0.4378
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2036,1,RE1,1,RE1,0.4483
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2037,1,RE1,1,RE1,0.4588
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2038,1,RE1,1,RE1,0.4694
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2039,1,RE1,1,RE1,0.4799
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2040,1,RE1,1,RE1,0.4904
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2041,1,RE1,1,RE1,0.3875
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2042,1,RE1,1,RE1,0.3573
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2043,1,RE1,1,RE1,0.3292
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2044,1,RE1,1,RE1,0.3031
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2045,1,RE1,1,RE1,0.279
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2046,1,RE1,1,RE1,0.2575
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2047,1,RE1,1,RE1,0.2375
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2048,1,RE1,1,RE1,0.2189
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2049,1,RE1,1,RE1,0.2016
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2050,1,RE1,1,RE1,0.6214
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2051,1,RE1,1,RE1,0.6367
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2052,1,RE1,1,RE1,0.6521
RE1,PHL_AGR_ELE,PHL_AGR_FAC,2053,1,RE1,1,RE1,0.6674
RE1,PHL_PRO_BIOM,PHL_AGR_HEAT_BIOM,2020,1,RE1,1,RE1,0.0006
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2020,1,RE1,1,RE1,0.6769
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2021,1,RE1,1,RE1,0.6921
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2022,1,RE1,1,RE1,0.7074
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2023,1,RE1,1,RE1,0.7226
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2024,1,RE1,1,RE1,0.7378
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2025,1,RE1,1,RE1,0.7531
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2026,1,RE1,1,RE1,0.7696
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2027,1,RE1,1,RE1,0.7861
RE1,PHL_PRO_LIQ,PHL_AGR_MOT_LIQ,2028,1,RE1,1,RE1,0.8026
